date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:57	17512/17512	---M--	200	added ('OK')	image/png	etag:%22f8f9de4994eed91:0%22	https://mahaegram.co.in/assets/img/shape1.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/shape1.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:57	17793/17793	---M--	200	added ('OK')	image/png	etag:%22306ff44994eed91:0%22	https://mahaegram.co.in/assets/img/shape2.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/shape2.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:58	17573/17573	---M--	200	added ('OK')	image/png	etag:%2250e494a94eed91:0%22	https://mahaegram.co.in/assets/img/shape3.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/shape3.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:59	18287/18287	---M--	200	added ('OK')	image/png	etag:%2288591f4a94eed91:0%22	https://mahaegram.co.in/assets/img/shape4.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/shape4.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:45:59	175763/175763	---M--	200	added ('OK')	image/png	etag:%224b6fb33f94eed91:0%22	https://mahaegram.co.in/assets/img/group.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/group.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:00	1064874/1064874	---M--	200	added ('OK')	image/png	etag:%2260bd2c4394eed91:0%22	https://mahaegram.co.in/assets/img/man.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/man.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:01	162472/162472	---M--	200	added ('OK')	image/jpeg	etag:%22f7a8794d94eed91:0%22	https://mahaegram.co.in/assets/img/work1.jpg	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/work1.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:01	1064570/1064570	---M--	200	added ('OK')	image/png	etag:%2261aa5a4d94eed91:0%22	https://mahaegram.co.in/assets/img/woman.png	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/woman.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:01	255920/255920	---M--	200	added ('OK')	image/jpeg	etag:%22b8ce9f4d94eed91:0%22	https://mahaegram.co.in/assets/img/work2.jpg	C:/My%20Web%20Sites/new/mahaegram.co.in/assets/img/work2.jpg	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
13:46:02	157345/157345	---M--	200	added ('OK')	image/png	etag:%2236fd482e94eed91:0%22	https://mahaegram.co.in/images/PanchayatRajNew.png	C:/My%20Web%20Sites/new/mahaegram.co.in/images/PanchayatRajNew.png	(from https://mahaegram.co.in/GeneralPages/GrampanchayatForm.aspx?&gpcode=180205&blockcode1=Kamptee&distname=Nagpur&gpname=Pawangaon)
